מודול,תת-מודול,סטטוס,תיאור,פיצ'רים קיימים,פיצ'רים עתידיים
מערכת אימות והרשאות,כניסת משתמשים,פעיל,"תמיכה בכניסה עם אימייל או מספר תעודת זהות","כניסה עם אימייל, כניסה עם ת.ז, זכירת משתמש, שחזור סיסמה","אימות דו-שלבי, כניסה עם רשתות חברתיות, אימות ביומטרי"
מערכת אימות והרשאות,הרשמת דיירים,פעיל,"תהליך הרשמה מובנה עם אימות פרטים","טופס הרשמה מובנה, אימות ת.ז, בדיקת תקינות שדות, אימות מול רשימת דיירים","אימות אוטומטי מול טאבו, אימות באמצעות SMS, זיהוי פנים"
מערכת אימות והרשאות,הרשאות לפי סוג משתמש,פעיל,"הרשאות שונות לדיירים, יזמים, בעלי מקצוע, רשויות ומנהלי מערכת","הרשאות דיירים, הרשאות יזמים, הרשאות בעלי מקצוע, הרשאות רשויות, הרשאות מנהל","הרשאות מותאמות אישית, הרשאות זמניות, הרשאות לפי פרויקט"
מערכת אימות והרשאות,ניהול פרופיל,פעיל,"עדכון פרטים אישיים וסיסמה","עדכון פרטים אישיים, שינוי סיסמה, הגדרת העדפות","אימות שינויים, היסטוריית שינויים, התראות על שינויים"
דשבורד דיירים,סקירה כללית,פעיל,"תצוגת נתונים מרכזיים, התקדמות פרויקט ופעילות אחרונה","התקדמות פרויקט, פעילות אחרונה, סטטיסטיקות, פעולות מהירות","התראות בזמן אמת, תחזיות AI, המלצות מותאמות אישית"
דשבורד דיירים,ציר זמן פרויקט,פעיל,"מעקב אחר אבני דרך והתקדמות הפרויקט","ציר זמן אינטראקטיבי, אבני דרך, סטטוס התקדמות","תחזיות לוחות זמנים, התראות על עיכובים, לוח גאנט מתקדם"
דשבורד דיירים,מערכת הצבעות,פעיל,"השתתפות בהצבעות דיגיטליות עם שקיפות מלאה","הצבעות פעילות, היסטוריית הצבעות, תוצאות בזמן אמת","הצבעות מאובטחות בבלוקצ'יין, הצבעות עם חתימה דיגיטלית, הצבעות מורכבות"
דשבורד דיירים,מרכז תקשורת,פעיל,"תקשורת עם כל הגורמים בפרויקט","הודעות פרטיות, קבוצות דיון, היסטוריית הודעות","צ'אט בזמן אמת, שיחות וידאו, שיתוף מסך, תרגום אוטומטי"
דשבורד דיירים,ניהול מסמכים,פעיל,"צפייה והורדת מסמכים רלוונטיים","צפייה במסמכים, הורדת מסמכים, סטטוס מסמכים","חתימה דיגיטלית, עריכת מסמכים מקוונת, גרסאות מסמכים, OCR"
דשבורד דיירים,מודלים תלת-ממדיים,פעיל,"צפייה במודלים אינטראקטיביים של הפרויקט","מודלים תלת-ממדיים, השוואת תכניות, מדידות","סיור וירטואלי, מציאות רבודה, התאמה אישית של הדירה"
דשבורד דיירים,מרכז תמיכה,פעיל,"קבלת תמיכה ומענה לשאלות","שאלות נפוצות, טפסי פנייה, מדריכים","צ'אט בזמן אמת עם נציג, בוט AI לתמיכה, שיחות וידאו עם מומחים"
דשבורד דיירים,מרכז התנגדויות,פעיל,"הגשת התנגדויות ומעקב אחר סטטוס","הגשת התנגדות, מעקב אחר סטטוס, תבניות התנגדות","ייעוץ משפטי אוטומטי, ניתוח סיכויי הצלחה, חתימה דיגיטלית"
דשבורד דיירים,מרכז ידע,פעיל,"גישה למאמרים ומדריכים מקצועיים","מאמרים, מדריכים, סרטוני הדרכה, פודקאסטים","קורסים אינטראקטיביים, וובינרים, תוכן מותאם אישית, AI לשאלות"
דשבורד מנהל,סקירה כללית,פעיל,"נתונים סטטיסטיים על כלל הפרויקטים","סטטיסטיקות פרויקטים, פעילות אחרונה, התראות","תחזיות AI, ניתוח מגמות, דוחות אוטומטיים"
דשבורד מנהל,ניהול פרויקטים,פעיל,"הוספה, עריכה ומחיקה של פרויקטים","הוספת פרויקט, עריכת פרויקט, מחיקת פרויקט, פרטי פרויקט","ניהול תקציב, ניהול לוחות זמנים, ניהול משימות, אוטומציה"
דשבורד מנהל,ניהול דיירים,פעיל,"צפייה ועריכת פרטי דיירים","רשימת דיירים, פרטי דייר, עריכת דייר, ייבוא/ייצוא","ניהול קבוצות, ניתוח התנהגות, תקשורת אוטומטית, סגמנטציה"
דשבורד מנהל,ניהול מסמכים,פעיל,"אישור ודחיית מסמכים שהועלו","רשימת מסמכים, אישור מסמך, דחיית מסמך, הערות","OCR אוטומטי, ניתוח תוכן, תיוג אוטומטי, ארכיון חכם"
דשבורד מנהל,מרכז הצבעות,פעיל,"יצירה וניהול הצבעות","יצירת הצבעה, ניהול הצבעות, תוצאות הצבעות","הצבעות מורכבות, אימות מתקדם, ניתוח תוצאות, אוטומציה"
דשבורד מנהל,ניהול התנגדויות,פעיל,"טיפול בהתנגדויות שהוגשו","רשימת התנגדויות, טיפול בהתנגדות, הערות","ניתוח משפטי אוטומטי, המלצות טיפול, תבניות תגובה, סטטיסטיקות"
דשבורד מנהל,מרכז ידע,פעיל,"ניהול תוכן מקצועי","הוספת תוכן, עריכת תוכן, מחיקת תוכן, קטגוריות","יצירת תוכן AI, ניתוח צריכת תוכן, המלצות תוכן, SEO אוטומטי"
דשבורד מנהל,ניהול משתמשים,פעיל,"הוספה, עריכה ומחיקה של משתמשים","רשימת משתמשים, הוספת משתמש, עריכת משתמש, מחיקת משתמש","ניהול הרשאות מתקדם, אימות זהות, ניטור פעילות, התראות אבטחה"
דשבורד מנהל,ייבוא/ייצוא,פעיל,"ייבוא וייצוא נתונים בפורמט CSV","ייבוא דיירים, ייצוא דיירים, ייבוא פרויקטים, ייצוא פרויקטים","ייבוא/ייצוא אוטומטי, סנכרון עם מערכות חיצוניות, ולידציה מתקדמת"
דשבורד מנהל,הגדרות מערכת,פעיל,"הגדרות כלליות של המערכת","הגדרות כלליות, הגדרות אבטחה, הגדרות מסד נתונים","הגדרות מותאמות אישית, גיבוי אוטומטי, ניטור ביצועים"
ניתוח זכויות תכנוניות,חיפוש נכס,פעיל,"חיפוש לפי כתובת או גוש/חלקה","חיפוש לפי כתובת, חיפוש לפי גוש/חלקה, היסטוריית חיפוש","זיהוי אוטומטי של נכס, חיפוש קולי, חיפוש לפי מפה"
ניתוח זכויות תכנוניות,הצגת זכויות,פעיל,"הצגת זכויות בנייה קיימות ופוטנציאליות","זכויות בנייה נוכחיות, זכויות בנייה פוטנציאליות, מגבלות","סימולציות בנייה, חישוב כדאיות כלכלית, המלצות תכנון"
ניתוח זכויות תכנוניות,מפה תלת-ממדית,פעיל,"הצגת הנכס במפה תלת-ממדית","מפה תלת-ממדית, שכבות מידע, מדידות","סיור וירטואלי, מציאות רבודה, סימולציות תכנון, הדמיות"
ניתוח זכויות תכנוניות,ייצוא דוח,פעיל,"אפשרות לייצוא דוח PDF מפורט","ייצוא PDF, פרטי נכס, זכויות בנייה, מגבלות","דוחות מותאמים אישית, שיתוף דוחות, דוחות השוואתיים"
תצוגת פרויקטים,רשימת פרויקטים,פעיל,"הצגת כל הפרויקטים הפעילים","רשימת פרויקטים, פרטי פרויקט, סטטוס פרויקט","מפת פרויקטים, סטטיסטיקות מתקדמות, תצוגות מותאמות אישית"
תצוגת פרויקטים,סינון וחיפוש,פעיל,"סינון לפי עיר, שלב וחיפוש טקסטואלי","סינון לפי עיר, סינון לפי שלב, חיפוש טקסטואלי","סינון מתקדם, חיפוש קולי, חיפוש לפי מפה, שמירת חיפושים"
